"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.12194198000049e-11,0.635728487291261,0.253,0.043,1.2673032092799e-06,"LYRM9"
1.92741196044581e-07,0.634911069553204,0.319,0.123,0.00398993549931887,"NPL"
1.60810502586279e-08,0.634908524619296,0.432,0.194,0.000332893821403857,"PIGF"
4.02392945029375e-10,0.634639066644052,0.334,0.1,8.32993635505309e-06,"ZZZ3"
1.21675819586513e-07,0.629190942926141,0.359,0.147,0.0025188111412604,"SNX7"
6.31699930028137e-10,0.629102528158659,0.577,0.294,1.30768202515125e-05,"MAT2B"
6.95198259754563e-45,0.628958171997934,1,0.986,1.43912991751792e-40,"ATP5E"
2.34307066148036e-20,0.628685269664847,0.93,0.711,4.85039057633049e-16,"SF3B5"
1.00574316400488e-09,0.628675779447301,0.267,0.062,2.08198892380651e-05,"CEP104"
3.91168401683767e-35,0.628299378040373,1,1,8.09757708325567e-31,"RPL12"
5.8622280562412e-08,0.628058385192451,0.544,0.294,0.00121353982992249,"UBE2F"
1.63363975764857e-09,0.627643703549145,0.326,0.1,3.3817976623083e-05,"FAM120AOS"
2.06025084046606e-16,0.62758521485279,0.874,0.645,4.26492526484878e-12,"DRAP1"
1.49620964245668e-14,0.627492159634473,0.776,0.493,3.09730358084957e-10,"PHB2"
7.73513621941471e-13,0.62720572260018,0.701,0.393,1.60125054878104e-08,"C8orf82"
1.59004193969308e-14,0.627163679509569,0.824,0.526,3.29154581935865e-10,"MEAF6"
1.00340823931953e-10,0.627120491396076,0.689,0.398,2.07715539621536e-06,"PPIC"
1.0625302291466e-11,0.627023108553246,0.821,0.536,2.19954382735637e-07,"LSM5"
4.45083304175102e-11,0.626256692143216,0.618,0.308,9.21366947972878e-07,"TSEN34"
1.59744507839625e-08,0.626171986241449,0.402,0.166,0.000330687105678807,"BFAR"
1.02584239605091e-11,0.625352536865182,0.49,0.185,2.12359634406499e-07,"FAM127B"
2.84589148087523e-10,0.625282007034013,0.338,0.104,5.89127995455981e-06,"PKIB"
2.9390762834284e-22,0.625218147514098,0.992,0.891,6.08418181432514e-18,"NUPR1"
1.68397598516934e-07,0.624506687587455,0.279,0.095,0.00348599868689905,"NARFL"
1.96874416461622e-10,0.624353415666637,0.387,0.137,4.07549729517204e-06,"HTRA2"
3.68219493818026e-08,0.624107609830147,0.304,0.104,0.000762251174152696,"IARS"
8.18078828552735e-15,0.623890497194362,0.828,0.526,1.69350498298702e-10,"PSMB9"
2.580000266743e-12,0.623856923340012,0.522,0.218,5.34085855218469e-08,"URM1"
5.73358367390377e-15,0.623178680284474,0.745,0.412,1.18690915633482e-10,"TIMM17B"
9.30098701134569e-14,0.623051226785217,0.721,0.436,1.92539732121867e-09,"PLPP1"
5.4748418077237e-08,0.622703113483843,0.31,0.109,0.00113334700261688,"LINC01006"
4.32638761212437e-09,0.621995029574127,0.495,0.227,8.95605499585866e-05,"NAA60"
3.2769384506487e-13,0.619973102455057,0.801,0.555,6.78359028668787e-09,"TFG"
2.15516525160001e-15,0.619402838347113,0.605,0.242,4.46140758733718e-11,"FAM200B"
2.46740696147108e-10,0.619329969632321,0.32,0.09,5.10777915094128e-06,"VPS16"
7.46771089325051e-11,0.618354138750413,0.531,0.237,1.54589083201179e-06,"NUDT7"
5.68294053617594e-07,0.617201770046835,0.286,0.104,0.0117642552039378,"UTP3"
2.65857816352853e-16,0.616627407553281,0.774,0.479,5.50352265632041e-12,"TIMM17A"
4.46251429028258e-09,0.616539556834164,0.354,0.128,9.23785083231396e-05,"DNAJC12"
7.7982547071966e-10,0.616365232259549,0.546,0.27,1.61431670693677e-05,"ALDH1B1"
2.29417076769454e-11,0.616009021775978,0.684,0.384,4.74916290620448e-07,"ATP6AP1"
3.47033850821341e-10,0.615387176470223,0.563,0.27,7.18394774585258e-06,"GCLC"
3.16158922268714e-09,0.615361401346449,0.484,0.223,6.54480584988465e-05,"APOPT1"
1.72035033498308e-25,0.615252729106161,0.981,0.839,3.56129722844847e-21,"ATP5J"
4.20264741333697e-11,0.614275258376747,0.514,0.218,8.69990041034885e-07,"HYAL1"
3.14432595996326e-17,0.613743669300096,0.685,0.332,6.50906916971995e-13,"SMS"
3.83280401370233e-10,0.612776084972669,0.61,0.332,7.9342875887652e-06,"TMX2"
1.64072121025288e-09,0.611776941260333,0.492,0.218,3.39645697734449e-05,"TIPRL"
4.08031450196574e-08,0.611633664960461,0.35,0.133,0.000844665905051929,"MTAP"
4.51345225250209e-09,0.609620175811824,0.487,0.227,9.34329750790458e-05,"TRIP6"
9.32274665984663e-07,0.608065655288744,0.271,0.1,0.0192990178605485,"SMG5"
