"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.19645546393625e-87,1.03665306012126,1,0.995,8.68708245589444e-83,"RPS18"
5.43545529560981e-87,1.50325018856833,0.995,0.839,1.12519360074419e-82,"PABPC1"
1.00556403564921e-86,-2.78518182077666,1,0.995,2.08161811019744e-82,"APOC3"
2.94678403656515e-86,2.0478805771161,0.972,0.569,6.10013763409351e-82,"TALDO1"
3.45386709899848e-86,2.12947218857071,0.962,0.569,7.14985028163676e-82,"TCEB1"
6.50089833829805e-86,-2.93804866444257,0.788,0.929,1.34575096501108e-81,"CFHR2"
6.75303693632661e-86,2.46377258817214,0.934,0.488,1.39794617618897e-81,"SLC9A3R1"
7.87724715738885e-86,-5.99604213131717,0.012,0.275,1.63066893405107e-81,"B3GNT5"
1.36737410626571e-85,1.97872133035889,0.964,0.536,2.83060113738065e-81,"PSMD4"
1.56050919713267e-85,2.99420701186168,0.9,0.275,3.23041008898434e-81,"MRPS7"
1.77264507669472e-85,2.56152445328029,0.926,0.346,3.66955257326575e-81,"PSMC5"
6.04927883401609e-85,2.50339443616427,0.943,0.365,1.25226121142967e-80,"KRT10"
7.11855762019733e-85,-2.52656133515791,0.885,0.938,1.47361261295705e-80,"CFHR1"
2.26218249082006e-84,1.27065334004142,0.999,0.943,4.6829439742466e-80,"GNB2L1"
2.79920657230284e-83,2.2182739851017,0.983,0.626,5.79463752532411e-79,"TUBB"
3.77295716293399e-83,1.28406707301677,1,0.967,7.81039862298966e-79,"RPL14"
1.23311133314063e-82,2.40401140547995,0.955,0.474,2.55266377073441e-78,"ADH1A"
4.30942638821728e-82,-6.91199846832589,0.025,0.327,8.92094356624858e-78,"S100P"
4.62090236197665e-82,-2.08976186031495,0.847,0.929,9.56572997952787e-78,"GAMT"
6.97888993181024e-82,2.18922587257599,0.949,0.512,1.44470000478404e-77,"TMEM14A"
1.51907513269151e-81,1.69139713237147,0.983,0.678,3.14463743218469e-77,"VDAC1"
2.39976737272745e-81,-2.13910986171877,0.929,0.929,4.96775843828309e-77,"APOC2"
2.4169186961311e-81,1.99546458698512,0.974,0.654,5.00326339286099e-77,"PPP1R16A"
2.93036629892184e-81,-3.19200365301288,0.621,0.886,6.0661512753981e-77,"CES2"
3.28404522784249e-81,3.24095571142051,0.885,0.218,6.79830202615675e-77,"CCL15"
5.13230433454113e-81,-3.48936519704233,0.539,0.877,1.06243832029336e-76,"ZFP36"
2.0225838667213e-80,2.76249117385089,0.903,0.28,4.18695086249976e-76,"CCT5"
3.2334658292891e-80,-2.73261042047592,0.856,0.929,6.69359761321136e-76,"CFB"
9.45276311955184e-80,2.4426975781769,0.919,0.403,1.95681649337843e-75,"CCDC124"
9.68011774205506e-80,-2.95570797647454,0.723,0.9,2.00388117378282e-75,"ALDOB"
7.73878860866346e-79,-4.45826208648307,0.123,0.569,1.60200662987942e-74,"ANPEP"
1.03843847588643e-78,-2.92605879963665,0.821,0.919,2.1496714889325e-74,"HPX"
4.96366168738582e-78,0.875386430188434,1,0.986,1.02752760590574e-73,"COX7C"
5.04047346776931e-78,-1.90280408466071,0.995,1,1.04342841256293e-73,"HLA-B"
7.82331296554619e-78,1.6346074103981,0.974,0.649,1.61950401699772e-73,"VPS28"
1.30725950117593e-77,0.998507474112198,1,0.972,2.70615789338428e-73,"RPS4X"
1.64557008312431e-77,-3.48329684654251,0.598,0.863,3.40649462907564e-73,"TM4SF5"
2.26219668972467e-77,3.04012043462175,0.854,0.213,4.68297336739903e-73,"EXOSC4"
2.37434449199196e-77,3.10178017076429,0.865,0.185,4.91513053287257e-73,"PGD"
3.46924587750191e-77,2.86380193522016,0.903,0.318,7.18168589101671e-73,"HN1"
3.76858107630368e-77,2.46182377741377,0.905,0.308,7.80133968605624e-73,"SNF8"
1.05621358817369e-76,1.18832891396969,1,0.981,2.18646774887835e-72,"CD74"
1.69139726946238e-76,-2.98778741935349,0.73,0.905,3.50136148751408e-72,"CFH"
