"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
8.02528767743234e-155,-4.00082457676246,0.656,0.942,1.66131480210527e-150,"AGXT"
2.21976278240038e-38,-3.9498593980624,0.06,0.261,4.59513093584702e-34,"RASGEF1B"
1.23029814998706e-54,-3.88927332958808,0.115,0.411,2.5468402002882e-50,"RGCC"
1.02792386318355e-71,-3.88512132117696,0.395,0.709,2.12790518917627e-67,"LRG1"
7.74669712376346e-62,-3.84677371858223,0.114,0.423,1.60364377159027e-57,"CYP4A22"
2.72079008760375e-100,-3.8266621188988,0.196,0.635,5.63230756034851e-96,"CIDEB"
2.84993958358425e-13,-3.82418254294022,0.235,0.365,5.89965993197776e-09,"CTGF"
4.14988910633357e-51,-3.75132998623685,0.185,0.482,8.59068543902111e-47,"LGALS3"
5.46938757971261e-141,-3.74705641716048,0.672,0.933,1.13221792287631e-136,"ANG"
9.69716090430631e-56,-3.72015408091055,0.172,0.485,2.00740927880045e-51,"ANGPTL8"
4.95965493646192e-55,-3.70270961644805,0.102,0.39,1.02669816839698e-50,"SRI"
1.08375335631343e-70,-3.69364139271334,0.138,0.491,2.24347782290444e-66,"ANXA5"
1.06790892920442e-45,-3.66614235889493,0.084,0.328,2.21067827434608e-41,"SLC2A3"
3.78225898788981e-45,-3.66584054247237,0.096,0.35,7.8296543308307e-41,"NR4A2"
1.49245413856539e-30,-3.6620598653906,0.129,0.344,3.08952931224421e-26,"IL7R"
6.90623476620641e-113,-3.6524793708998,0.741,0.914,1.42965965895239e-108,"FABP1"
2.26771574731064e-69,-3.65081380589574,0.143,0.491,4.69439836850776e-65,"NR4A1"
3.00059384096844e-120,-3.62936546803104,0.551,0.868,6.21152931018876e-116,"TXNIP"
2.35253435052953e-58,-3.6274024754156,0.141,0.454,4.86998135903118e-54,"FNDC4"
6.06682318440187e-33,-3.61529425447954,0.076,0.27,1.25589306740303e-28,"PCOLCE"
5.56362507144027e-114,-3.60757743382794,0.324,0.773,1.15172602603885e-109,"IGKC"
3.30876897118687e-79,-3.59947371148672,0.225,0.607,6.84948264725395e-75,"CYP4A11"
4.00330263692495e-63,-3.598246672367,0.12,0.442,8.28723678869834e-59,"HSD17B2"
6.74634664184159e-87,-3.59325290430224,0.306,0.693,1.39656121832763e-82,"C5"
1.12312285403858e-94,-3.58947281444448,0.264,0.684,2.32497662014527e-90,"SLC38A4"
1.23937042740992e-63,-3.58147633689395,0.103,0.417,2.56562072178128e-59,"GLYATL1"
1.09582085309958e-52,-3.57236933523063,0.242,0.537,2.26845874800145e-48,"FAM46A"
6.76519266216153e-37,-3.56590790456433,0.115,0.35,1.40046253299406e-32,"MAFB"
1.64247950951334e-32,-3.5611335836925,0.066,0.252,3.40009683264357e-28,"PDE4B"
8.99118268380487e-48,-3.5334898971074,0.116,0.39,1.86126472737445e-43,"FGF21"
3.03514457961653e-38,-3.52244327741356,0.079,0.294,6.28305279426419e-34,"GPC6"
3.72592344128919e-81,-3.50435634974441,0.198,0.592,7.71303411581276e-77,"CXCL16"
1.58173478781328e-52,-3.49580191634948,0.094,0.368,3.27434918425228e-48,"PPP1R3B"
3.09073078003443e-114,-3.49301281672509,0.609,0.887,6.39812178774927e-110,"JUNB"
1.52002305179635e-117,-3.48864895364999,0.623,0.871,3.14659971952363e-113,"TM4SF5"
5.40855642419652e-130,-3.48843600990017,0.577,0.899,1.11962526537292e-125,"ZFP36"
1.28398203809049e-36,-3.44882565580002,0.066,0.267,2.65797121705113e-32,"HTRA1"
1.43059517128294e-135,-3.44462801611875,0.812,0.933,2.96147506407281e-131,"A1BG"
5.78918171182354e-32,-3.42365537448331,0.132,0.35,1.19841850616459e-27,"RAB11FIP1"
7.26756540498659e-83,-3.40629010168672,0.423,0.755,1.50445871448627e-78,"PDK4"
7.65338758929006e-22,-3.40577261081091,0.133,0.307,1.58432776485893e-17,"RASD1"
4.63516740069282e-38,-3.40529962568743,0.107,0.337,9.5952600361742e-34,"TMEM86B"
4.05235376195175e-39,-3.39679382713404,0.096,0.325,8.38877752261632e-35,"EGFR"
3.60408619490876e-97,-3.39280586690856,0.349,0.745,7.46081883208063e-93,"SERPINA5"
4.65238591241078e-48,-3.39186806027225,0.095,0.356,9.63090407728157e-44,"PLGLB1"
1.80391705250362e-41,-3.39150956129007,0.179,0.442,3.73428869038775e-37,"ARL5B"
9.10610086340326e-43,-3.38584417474112,0.265,0.549,1.88505393973311e-38,"SDS"
1.38622974913856e-38,-3.37070863377555,0.172,0.429,2.86963420369172e-34,"KLRB1"
1.32433375372334e-36,-3.36815783574842,0.084,0.298,2.74150330358269e-32,"AGPAT5"
1.69419557784838e-48,-3.36395128923051,0.11,0.38,3.50715426570393e-44,"LGR4"
9.43421437423988e-38,-3.33910832207655,0.106,0.337,1.9529767176114e-33,"RND3"
1.25895760321326e-54,-3.32846547706153,0.129,0.429,2.60616813441176e-50,"FURIN"
3.76325872293231e-46,-3.29954120098747,0.207,0.491,7.79032188234217e-42,"CFHR3"
1.90737838570691e-58,-3.29488571348735,0.196,0.521,3.94846399625188e-54,"ABHD3"
4.45420618052991e-25,-3.28506582201766,0.11,0.294,9.22065221431497e-21,"LINC00844"
6.81989076138267e-27,-3.27726522734015,0.141,0.34,1.41178558651383e-22,"NFKB1"
5.47705439603926e-63,-3.2737153349505,0.151,0.491,1.13380503052409e-58,"WBP5"
1.02289284650064e-21,-3.23569447432966,0.106,0.273,2.11749048154097e-17,"CLN8"
6.90266689817427e-32,-3.23450584706275,0.096,0.301,1.42892107459106e-27,"SHBG"
5.41134530672039e-103,-3.23353583349871,0.508,0.844,1.12020259194419e-98,"CXCR4"
2.08532792295973e-49,-3.22736626430102,0.146,0.436,4.31683733331893e-45,"KLKB1"
4.8349014743492e-64,-3.22260104613999,0.289,0.623,1.00087295420503e-59,"CREB3L3"
4.22275619055072e-50,-3.22236411639549,0.24,0.54,8.74152759005904e-46,"NKG7"
3.109664027346e-61,-3.18957080641327,0.217,0.555,6.43731550300896e-57,"TUBA4A"
4.28547947068434e-18,-3.18240375031183,0.103,0.252,8.87137105226365e-14,"STK17B"
3.06390197377997e-68,-3.1821658664943,0.288,0.644,6.34258347592192e-64,"RGS1"
1.11169571342044e-35,-3.18042075435934,0.229,0.472,2.30132129635166e-31,"REL"
2.02277836021595e-35,-3.16455024497047,0.339,0.561,4.18735348348303e-31,"CPS1"
1.15361462232605e-124,-3.15032910496944,0.652,0.902,2.38809762967716e-120,"CES2"
4.72521411678898e-47,-3.14595172054193,0.417,0.666,9.78166574316486e-43,"CXCL2"
5.1239126706404e-42,-3.14207794952503,0.227,0.491,1.06070116194927e-37,"PRG4"
4.96728615229149e-63,-3.13650264601001,0.351,0.653,1.02827790638586e-58,"FBP1"
9.26835957934354e-25,-3.1316086074831,0.114,0.301,1.91864311651991e-20,"SAMSN1"
8.43110012409791e-32,-3.12529791653904,0.129,0.347,1.74532203668951e-27,"CROT"
1.91207317073833e-25,-3.11648548429601,0.1,0.279,3.95818267074542e-21,"ARHGEF26"
1.45689736611089e-98,-3.10631825719622,0.567,0.822,3.01592323758616e-94,"ASGR2"
1.89139359832902e-34,-3.10172805602077,0.082,0.288,3.9153738879009e-30,"PALMD"
