"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.90695579059861e-210,1.21405609695664,0.945,0.451,1.63681891821182e-205,"0","SNRPC"
3.26400779776645e-209,1.56832236836354,0.717,0.24,6.75682254215632e-205,"0","RAC3"
6.37658117764453e-209,1.07036077885316,0.987,0.608,1.32001606958419e-204,"0","P4HB"
1.33126598477441e-208,1.33679968472582,0.818,0.335,2.75585371508151e-204,"0","PXMP2"
5.12420170639262e-208,1.25931375980244,0.887,0.401,1.06076099524034e-203,"0","MRPL34"
1.07968463662848e-207,1.27346217303319,0.869,0.367,2.23505516628461e-203,"0","MRPL36"
1.67483811220299e-207,0.675466220490679,1,0.977,3.4670823760714e-203,"0","RPL27"
4.10193894759063e-207,1.24259102804635,0.865,0.389,8.49142381540736e-203,"0","ASS1"
5.98378065720621e-207,0.934511062156424,0.991,0.676,1.23870243384826e-202,"0","ATOX1"
7.15950727690564e-207,0.882023381291284,0.912,0.459,1.48208960139224e-202,"0","CFHR1"
1.08891929216593e-206,1.49251254529302,0.73,0.267,2.25417182671268e-202,"0","OCEL1"
1.4429411711136e-206,1.59879188306221,0.706,0.247,2.98703251832226e-202,"0","MFSD3"
1.67767331527476e-206,1.23748763153097,0.886,0.37,3.47295152995029e-202,"0","AKR1B10"
1.99199741942339e-206,1.25752923952662,0.916,0.425,4.12363385794836e-202,"0","CCDC124"
2.26181727324422e-206,1.06621008995508,0.989,0.599,4.68218793734286e-202,"0","NDUFS6"
3.11314903458873e-206,1.03450674106702,0.984,0.644,6.44452981650212e-202,"0","ATP5J"
7.60736070823276e-206,1.45126257227192,0.747,0.276,1.57479974021126e-201,"0","TSKU"
1.4705427604409e-205,1.52478405314476,0.734,0.279,3.04417056838871e-201,"0","GLYCTK"
2.02293915177121e-204,1.570542175094,0.72,0.25,4.18768633808158e-200,"0","PIR"
2.54328391542028e-204,1.4383153660334,0.757,0.271,5.26485203331152e-200,"0","ICT1"
6.30960849318943e-204,1.12860628488379,0.956,0.533,1.30615205417514e-199,"0","RAB2A"
7.00604433344893e-204,1.66489623057904,0.646,0.208,1.45032123746726e-199,"0","ACY1"
9.88969663594919e-204,1.13988694631007,0.95,0.498,2.04726610060784e-199,"0","CYSTM1"
1.21789515854684e-203,1.26879314874538,0.822,0.347,2.52116476770781e-199,"0","ECI2"
2.79531073962927e-203,1.44018315146143,0.737,0.264,5.78657276210656e-199,"0","HLF"
1.31567207261439e-202,1.58315286961647,0.504,0.122,2.72357275751905e-198,"0","HIST1H2BD"
1.957130017686e-202,1.47177818185605,0.747,0.296,4.05145484961178e-198,"0","TST"
5.31949206079336e-202,1.39530943622389,0.794,0.338,1.10118805150483e-197,"0","SLC22A18"
6.09283820110541e-202,1.38372590240326,0.78,0.289,1.26127843601083e-197,"0","TIMM8A"
6.51732601833957e-202,1.43955650581263,0.699,0.254,1.34915165905648e-197,"0","RGN"
1.42474985222515e-201,1.12295316865723,0.959,0.523,2.94937466909128e-197,"0","EIF6"
1.56907578081319e-201,1.09118288374102,0.864,0.386,3.24814377386138e-197,"0","MASP2"
2.17549161806707e-201,1.41964163826947,0.847,0.387,4.50348519856064e-197,"0","SCD"
2.5533109231631e-201,1.45799812918937,0.775,0.308,5.28560894203994e-197,"0","FAH"
3.07925688264706e-201,1.58841425156503,0.636,0.208,6.37436967276769e-197,"0","ALDOC"
2.22474691538306e-200,1.98054362778184,0.5,0.125,4.60544858953447e-196,"0","GLYAT"
2.23363809213599e-200,1.15064343993628,0.931,0.464,4.62385421453072e-196,"0","GATM"
2.8196470838857e-200,1.31939229605381,0.803,0.344,5.83695142835178e-196,"0","C1R"
