"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.82037197439481e-128,3.3160980301434,0.999,0.558,5.8384520241947e-124,"CBR1"
5.69972987731575e-128,3.24784405556182,0.997,0.566,1.17990108190313e-123,"SNHG25"
1.67070538295554e-127,1.78978117634335,1,0.996,3.45852721325627e-123,"RPL30"
2.23161278176606e-127,2.69836252814579,0.998,0.836,4.61966161953392e-123,"NPM1"
1.15037664565102e-126,8.02937250283357,0.969,0.018,2.38139469416218e-122,"CHI3L1"
1.92411460539215e-126,2.12239809502784,1,0.987,3.98310964462228e-122,"RPL7"
3.6298321431309e-126,1.89674443213721,1,0.978,7.51411551949527e-122,"RPL38"
1.8931250984314e-124,2.11479260818557,1,0.947,3.91895826626285e-120,"RPL27"
3.53146885011165e-124,3.67019816389498,0.99,0.367,7.31049366661612e-120,"AKR1C4"
5.79825683184339e-124,2.10963514967966,1,0.92,1.2002971467599e-119,"RPL23"
1.47880594076731e-122,1.53824739835828,1,1,3.06127617798242e-118,"RPS14"
4.21691241943747e-122,2.09500160155895,1,0.969,8.7294303994775e-118,"RPL23A"
4.57364590085549e-122,2.20941023760608,1,0.912,9.46790437936095e-118,"CES1"
2.77471505852892e-121,-4.95672056320517,0.144,0.712,5.74393764266072e-117,"CYP2C8"
2.87856680408346e-121,-2.84033938003625,0.965,0.996,5.95892114113318e-117,"TMSB4X"
4.07298952661675e-121,2.51408855419402,0.997,0.65,8.43149561904933e-117,"PSMB3"
1.19092222496864e-119,2.43907939242253,0.995,0.686,2.46532809790758e-115,"ANAPC11"
1.56497327378437e-119,1.99451030658566,1,0.96,3.23965117406102e-115,"EIF1"
3.24802998660081e-119,1.75115450262388,1,0.942,6.72374687526234e-115,"COX6C"
2.1173127722345e-118,-5.66285772300865,0.02,0.385,4.38304916980264e-114,"EMP1"
1.78482416051131e-117,3.02432573403909,0.994,0.487,3.69476449467446e-113,"PTGR1"
2.02999111393179e-117,2.85330759310592,0.984,0.531,4.2022846049502e-113,"EIF3H"
7.04593065260238e-116,-7.87619004941419,0.005,0.288,1.45857810439522e-111,"CRHBP"
1.08514994540764e-115,3.29304249949177,0.996,0.301,2.24636890198835e-111,"ADH4"
1.23372108578313e-115,3.56001653394399,0.975,0.288,2.55392601967966e-111,"ALDH1L1"
1.93861927407483e-115,1.60713623933283,1,0.934,4.01313575926231e-111,"EEF1D"
8.29513714939375e-115,9.71310609870232,0.919,0,1.717176341296e-110,"ALDH3A1"
5.56500855588152e-114,1.46879955290436,1,0.96,1.15201242115303e-109,"RPL29"
